fredag 15. mars 2024	17:56:17
Time(s)	SP-1	SP-2	SP-3	SP-4	SP-5	SP-6	SP-7	SP-8	SP-9	SP-10	SP-11	SP-12	SP-13	SP-14	SP-15	SC-1	SP-16	SP-17	SP-18	SP-19	SP-20	SP-21	SP-22	SP-23	SP-24	SP-25	SP-26	SP-27	SP-28	SP-29	SP-30	
55,000000	1205,491610	179,784366	174,485961	188,433194	210,163587	222,925320	240,452141	258,837708	241,045521	197,597743	269,503671	294,235650	287,453111	291,688298	296,561637	4,219410	223,607712	321,330988	321,403966	339,969991	344,901211	350,719887	380,312483	404,132158	409,673930	411,958735	406,530158	412,700936	411,525396	466,181209	479,339527
56,000000	1205,491618	181,967814	177,221975	191,774661	214,598175	227,670410	245,443743	265,432855	248,007119	205,175658	278,225029	306,331996	297,694616	302,400774	308,811214	4,404460	228,473475	334,081846	335,257079	356,967955	359,049118	365,969794	396,133282	416,121823	423,437716	428,118031	424,987587	428,533414	427,721727	481,211040	493,588928
57,000000	1205,491623	183,637622	179,201303	194,178104	217,838332	231,004763	248,955621	270,385856	253,003140	212,160161	285,506950	315,808095	305,473829	310,071986	318,543740	4,552840	233,628779	343,128824	345,416191	369,186560	368,970194	376,915035	409,414759	424,256161	432,685786	439,642421	440,432390	439,219390	438,629687	491,237785	502,979113
58,000000	1205,491626	184,878393	180,643879	195,891551	220,161766	233,342755	251,389478	274,015396	256,474693	218,219462	291,149306	322,644088	311,072240	315,368166	325,731592	4,663991	238,813306	349,294774	352,352214	377,613375	375,694447	384,321855	419,734395	429,772200	438,782117	447,488848	452,338208	446,309975	445,881828	497,970980	509,230257
59,000000	1205,491628	185,993022	182,309802	197,809836	222,485539	236,240368	255,105845	277,496717	260,322647	223,828572	296,401588	328,938029	316,842436	321,878771	332,946940	4,763362	244,174889	357,303646	360,561458	387,896617	385,068079	394,514059	430,609849	449,685658	454,264129	460,788884	465,279605	460,776103	462,878440	518,491361	533,279315
60,000000	1205,491629	187,326050	184,296428	200,364109	225,269272	240,396388	260,130036	282,598220	266,281796	230,235303	303,584601	337,900391	326,105017	332,953377	343,893753	4,923907	250,220008	371,248451	374,500918	404,518494	401,523605	411,732568	446,090677	471,147117	476,863110	481,113359	483,623144	484,311459	488,461778	546,266764	560,595465
61,000000	1205,491630	188,620982	185,885796	202,387570	227,699968	243,453470	263,529692	287,424860	271,023757	236,540750	310,498809	346,087927	334,383544	341,821881	353,976801	5,078791	256,493296	382,049326	386,041843	417,410146	414,128659	424,922117	460,072258	480,222256	488,237862	495,852500	499,983292	498,801549	503,276849	558,341163	570,932036
62,000000	1205,491630	189,761391	187,139009	203,914621	229,702028	245,527324	265,749466	291,108328	274,107606	242,026026	315,843786	352,005749	340,155849	347,510522	361,237727	5,190969	262,658131	388,595725	393,445964	425,435336	421,793951	432,877389	470,509922	485,858859	494,778425	504,604910	511,818191	506,868675	510,845855	565,029293	576,672284
63,000000	1205,491630	190,755377	188,102151	205,088788	231,295091	246,980715	267,241089	293,745211	276,082831	246,506893	319,675490	356,048123	343,989151	351,057655	366,091243	5,264217	268,628534	392,525033	397,897773	430,310516	426,244647	437,465839	477,828568	488,882186	498,347490	509,593037	519,625879	511,179713	514,630199	568,489664	579,531215
64,000000	1205,491630	191,629633	188,890085	205,949485	232,601753	247,928439	268,058628	295,514367	277,233589	249,864367	322,135855	358,510492	346,273187	352,846754	368,820768	5,311427	274,259882	394,363947	399,981402	432,825296	428,159920	439,148266	482,163124	486,710963	498,140415	511,024820	523,733676	511,884695	515,038328	566,948065	575,744723
